_id,name,description,imageUrl,city,province,openTime,closeTime,latitude,longitude,accessibility,historical_context,hands_on_activities,rating,distance
652b9d229c8deef2485bf8ed,Queen Viharamahadevi Park,"Originally named Victoria Park, it's a public park with historical significance. It was named in honor of Queen Viharamahadevi, the mother of King Dutugemunu.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Viharamahadevi_Park_incl._Town_Hall.jpg/1280px-Viharamahadevi_Park_incl._Town_Hall.jpg,Colombo,Western,6:00 AM,6:00 PM,6.913396000763278,79.85687454076495,"Wheelchair-accessible car park, Wheelchair-accessible entrance", British colonial era,"Playground, Dogs allowed, Picnic tables, Public toilet, Skateboarding area, Slides, Swings",4.4,0.8476215118738171
652b9d229c8deef2485bf8e9,Gangarama Temple,"A Buddhist temple with a blend of Sri Lankan, Thai, Indian, and Chinese architecture. It houses an eclectic collection of artifacts and religious relics.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Gangaramaya_Temple.JPG/1280px-Gangaramaya_Temple.JPG,Colombo,Western,6:00 AM,10:00 PM,6.916719818441023,79.85406531012194,"Wheelchair-accessible car park, Wheelchair-accessible entrance,",Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.6,0.8716097714954846
654a3aea056dd7f6121cf304,Nelum Pokuna Mahinda Rajapaksa Theatre,Modern performing arts venue with cultural performances and events,https://media.timeout.com/images/101828765/750/422/image.jpg,Colombo,Western,0.375,0.916666667,6.9179,79.8481,Wheelchair accessible,Contemporary Culture,"Live Performances, Cultural Shows",4.5,0.9031306944177602
652b9d229c8deef2485bf8e8,Colombo National Museum,"Sri Lanka's oldest museum, housing a vast collection of historical artifacts, including the regalia of Sri Lankan kings and ancient art.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/SL_Colombo_asv2020-01_img10_National_Museum.jpg/1920px-SL_Colombo_asv2020-01_img10_National_Museum.jpg,Colombo,Western,9:00 AM,4:00 PM,6.9099991,79.8583229,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet",Museum Access , Interactive Tours,4.4,0.9187420211548665
654a3aea056dd7f6121cf319,Viharamahadevi Park,Urban park with historical significance and lush greenery,https://media.timeout.com/images/102901560/image.jpg,Colombo,Western,0.25,0.833333333,6.9125,79.8602,Wheelchair accessible,Colonial Era,"Picnicking, Leisure Activities",4.7,1.1597557741299238
654a3aea056dd7f6121cf310,Viharamahadevi Park,Urban park with historical significance and lush greenery,https://us.lakpura.com/cdn/shop/files/LK94009646-07-E.jpg?v=1657019217&width=3840,Colombo,Western,0.25,0.833333333,6.9125,79.8602,Wheelchair accessible,Colonial Era,"Picnicking, Leisure Activities",4.7,1.1597557741299238
652b9d229c8deef2485bf8ea,Independence Square,A national monument commemorating Sri Lanka's independence from British colonial rule. It features symbolic architectural elements and a museum.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Independence_Commemoration_Hall.jpg/1280px-Independence_Commemoration_Hall.jpg,Colombo,Western,0:00 AM,0:00 AM,6.904767900890669,79.86235274076459, ,Ancient Buddhist monastery,"Photography, Sightseeing, Relaxing",4.6,1.4825167964970343
654a3aea056dd7f6121cf2fd,Gangaramaya Temple,Grand Buddhist temple with eclectic architecture,https://www.taruvillas.com/wp-content/uploads/2021/11/Gangaramaya-and-Seema-Malakaya-Temple-Tour-720x720-1.jpg,Colombo,Western,0.25,0.916666667,6.9176,79.8612,Wheelchair accessible,Religious Heritage,"Religious Ceremonies, Sightseeing",4.7,1.4975538862318354
654a3aea056dd7f6121cf317,Old Parliament Building,Historic building that housed the Parliament of Sri Lanka until 1981,https://archives1.sundayobserver.lk/sites/default/files/styles/large/public/news/2018/07/27/z_p51-monument.jpg?itok=TpBfqfXv,Colombo,Western,0.375,0.708333333,6.9271,79.8486,Wheelchair accessible,Colonial Era,"Guided Tours, History Talks",4.5,1.9077030161070287
654a3aea056dd7f6121cf30e,Old Parliament Building,Historic building that housed the Parliament of Sri Lanka until 1981,https://live.staticflickr.com/4910/46317918802_29c756ab88_b.jpg,Colombo,Western,0.375,0.708333333,6.9271,79.8486,Wheelchair accessible,Colonial Era,"Guided Tours, History Talks",4.5,1.9077030161070287
